Unnamed: 0,Name,Album,Artist,SpotifyURL
0,good 4 u,SOUR,Olivia Rodrigo,https://open.spotify.com/search/good%204%20u%20Olivia%20Rodrigo
1,Todo De Ti,Todo De Ti,Rauw Alejandro,https://open.spotify.com/search/Todo%20De%20Ti%20Rauw%20Alejandro
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,https://open.spotify.com/search/MONTERO%20(Call%20Me%20By%20Your%20Name)%20Lil%20Nas%20X
3,Yonaguni,Yonaguni,Bad Bunny,https://open.spotify.com/search/Yonaguni%20Bad%20Bunny
4,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,https://open.spotify.com/search/Kiss%20Me%20More%20(feat.%20SZA)%20Doja%20Cat
5,Beggin',Chosen,Måneskin,https://open.spotify.com/search/Beggin'%20Måneskin
6,deja vu,SOUR,Olivia Rodrigo,https://open.spotify.com/search/deja%20vu%20Olivia%20Rodrigo
7,Butter,"Butter (Hotter, Sweeter, Cooler)",BTS,https://open.spotify.com/search/Butter%20BTS
8,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,https://open.spotify.com/search/Levitating%20(feat.%20DaBaby)%20Dua%20Lipa
9,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,https://open.spotify.com/search/Peaches%20(feat.%20Daniel%20Caesar%20&%20Giveon)%20Justin%20Bieber
10,I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,Måneskin,https://open.spotify.com/search/I%20WANNA%20BE%20YOUR%20SLAVE%20Måneskin
11,traitor,SOUR,Olivia Rodrigo,https://open.spotify.com/search/traitor%20Olivia%20Rodrigo
12,Qué Más Pues?,Qué Más Pues?,J Balvin,https://open.spotify.com/search/Qué%20Más%20Pues?%20J%20Balvin
13,happier,SOUR,Olivia Rodrigo,https://open.spotify.com/search/happier%20Olivia%20Rodrigo
14,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,https://open.spotify.com/search/Save%20Your%20Tears%20(with%20Ariana%20Grande)%20(Remix)%20The%20Weeknd
15,drivers license,SOUR,Olivia Rodrigo,https://open.spotify.com/search/drivers%20license%20Olivia%20Rodrigo
16,Astronaut In The Ocean,Astronaut In The Ocean (International Remixes),Masked Wolf,https://open.spotify.com/search/Astronaut%20In%20The%20Ocean%20Masked%20Wolf
17,Leave The Door Open,Leave The Door Open,Bruno Mars,https://open.spotify.com/search/Leave%20The%20Door%20Open%20Bruno%20Mars
18,favorite crime,SOUR,Olivia Rodrigo,https://open.spotify.com/search/favorite%20crime%20Olivia%20Rodrigo
19,RAPSTAR,Hall of Fame,Polo G,https://open.spotify.com/search/RAPSTAR%20Polo%20G
20,Pareja Del Año,Pareja Del Año,Sebastian Yatra,https://open.spotify.com/search/Pareja%20Del%20Año%20Sebastian%20Yatra
21,Build a Bitch,Build a Bitch,Bella Poarch,https://open.spotify.com/search/Build%20a%20Bitch%20Bella%20Poarch
22,Blinding Lights,After Hours,The Weeknd,https://open.spotify.com/search/Blinding%20Lights%20The%20Weeknd
23,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Riton,https://open.spotify.com/search/Friday%20(feat.%20Mufasa%20&%20Hypeman)%20-%20Dopamine%20Re-Edit%20Riton
24,ZITTI E BUONI,Teatro d'ira - Vol. I,Måneskin,https://open.spotify.com/search/ZITTI%20E%20BUONI%20Måneskin
25,brutal,SOUR,Olivia Rodrigo,https://open.spotify.com/search/brutal%20Olivia%20Rodrigo
26,"jealousy, jealousy",SOUR,Olivia Rodrigo,"https://open.spotify.com/search/jealousy,%20jealousy%20Olivia%20Rodrigo"
27,AM,AM,Nio Garcia,https://open.spotify.com/search/AM%20Nio%20Garcia
28,Dynamite,BE,BTS,https://open.spotify.com/search/Dynamite%20BTS
29,DÁKITI,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,https://open.spotify.com/search/DÁKITI%20Bad%20Bunny
30,Dinero,Dinero,Trinidad Cardona,https://open.spotify.com/search/Dinero%20Trinidad%20Cardona
31,Watermelon Sugar,Fine Line,Harry Styles,https://open.spotify.com/search/Watermelon%20Sugar%20Harry%20Styles
32,Fiel - Remix,Fiel (Remix),Wisin,https://open.spotify.com/search/Fiel%20-%20Remix%20Wisin
33,Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,https://open.spotify.com/search/Heat%20Waves%20Glass%20Animals
34,Beautiful Mistakes (feat. Megan Thee Stallion),JORDI (Deluxe),Maroon 5,https://open.spotify.com/search/Beautiful%20Mistakes%20(feat.%20Megan%20Thee%20Stallion)%20Maroon%205
35,Heartbreak Anniversary,TAKE TIME,Giveon,https://open.spotify.com/search/Heartbreak%20Anniversary%20Giveon
36,Fiel,Los Legendarios 001,Los Legendarios,https://open.spotify.com/search/Fiel%20Los%20Legendarios
37,2/Catorce,2/Catorce,Rauw Alejandro,https://open.spotify.com/search/2/Catorce%20Rauw%20Alejandro
38,The Business,The Business,Tiësto,https://open.spotify.com/search/The%20Business%20Tiësto
39,telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,https://open.spotify.com/search/telepatía%20Kali%20Uchis
40,Mood (feat. iann dior),El Dorado,24kGoldn,https://open.spotify.com/search/Mood%20(feat.%20iann%20dior)%2024kGoldn
41,Save Your Tears,After Hours,The Weeknd,https://open.spotify.com/search/Save%20Your%20Tears%20The%20Weeknd
42,Rasputin,Rasputin,Majestic,https://open.spotify.com/search/Rasputin%20Majestic
43,Your Love (9PM),Your Love (9PM),ATB,https://open.spotify.com/search/Your%20Love%20(9PM)%20ATB
44,Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,https://open.spotify.com/search/Wants%20and%20Needs%20(feat.%20Lil%20Baby)%20Drake
45,enough for you,SOUR,Olivia Rodrigo,https://open.spotify.com/search/enough%20for%20you%20Olivia%20Rodrigo
46,Botella Tras Botella,Botella Tras Botella,Gera MX,https://open.spotify.com/search/Botella%20Tras%20Botella%20Gera%20MX
47,EL MAKINON,KG0516,KAROL G,https://open.spotify.com/search/EL%20MAKINON%20KAROL%20G
48,Lost Cause,Lost Cause,Billie Eilish,https://open.spotify.com/search/Lost%20Cause%20Billie%20Eilish
49,Miénteme,Miénteme,TINI,https://open.spotify.com/search/Miénteme%20TINI
